2/1/1997,20.85
1/1/1997,23.54
12/1/1996,23.78
11/1/1996,22.76
10/1/1996,24.16
9/1/1996,22.63
8/1/1996,20.51
7/1/1996,19.57
6/1/1996,18.46
5/1/1996,19.15
4/1/1996,20.9
