,ds,y,y_orig
1,1996-05-01,11.868499803464928,142700.0
2,1996-06-01,11.862172893080164,141800.0
3,1996-07-01,11.85580569788677,140900.0
4,1996-08-01,11.850111732325098,140100.0
5,1996-09-01,11.845102777308561,139400.0
6,1996-10-01,11.840789327054841,138800.0
7,1996-11-01,11.83718051765285,138300.0
8,1996-12-01,11.835008964139341,138000.0
9,1997-01-01,11.834284063781393,137900.0
10,1997-02-01,11.832832684716747,137700.0
11,1997-03-01,11.831379196088763,137500.0
12,1997-04-01,11.829194994273921,137200.0
13,1997-05-01,11.82700601127654,136900.0
14,1997-06-01,11.824812226118826,136600.0
15,1997-07-01,11.822613617684624,136300.0
16,1997-08-01,11.820410164718188,136000.0
17,1997-09-01,11.818938494106733,135800.0
18,1997-10-01,11.81820184582296,135700.0
19,1997-11-01,11.820410164718188,136000.0
20,1997-12-01,11.824079893607152,136500.0
21,1998-01-01,11.829194994273921,137200.0
22,1998-02-01,11.834284063781393,137900.0
23,1998-03-01,11.83934736573794,138600.0
24,1998-04-01,11.843667026882457,139200.0
25,1998-05-01,11.847252545245054,139700.0
26,1998-06-01,11.850111732325098,140100.0
27,1998-07-01,11.851538266090552,140300.0
28,1998-08-01,11.850825253582627,140200.0
29,1998-09-01,11.84939770159144,140000.0
30,1998-10-01,11.847968108781847,139800.0
31,1998-11-01,11.84653646931041,139600.0
32,1998-12-01,11.845102777308561,139400.0
33,1999-01-01,11.843667026882457,139200.0
34,1999-02-01,11.843667026882457,139200.0
35,1999-03-01,11.842948377911535,139100.0
36,1999-04-01,11.842948377911535,139100.0
37,1999-05-01,11.844385159767898,139300.0
38,1999-06-01,11.84653646931041,139600.0
39,1999-07-01,11.84939770159144,140000.0
40,1999-08-01,11.853674258358701,140600.0
41,1999-09-01,11.85864056867262,141300.0
42,1999-10-01,11.864286314085192,142100.0
43,1999-11-01,11.869900363917958,142900.0
44,1999-12-01,11.875483072067116,143700.0
45,2000-01-01,11.880342505440863,144400.0
46,2000-02-01,11.883108758933753,144800.0
47,2000-03-01,11.883799128308773,144900.0
48,2000-04-01,11.883108758933753,144800.0
49,2000-05-01,11.882417912619575,144700.0
50,2000-06-01,11.881726588706801,144600.0
51,2000-07-01,11.881034786534624,144500.0
52,2000-08-01,11.881726588706801,144600.0
53,2000-09-01,11.883799128308773,144900.0
54,2000-10-01,11.887931365593685,145500.0
55,2000-11-01,11.893414587008216,146300.0
56,2000-12-01,11.900226602450722,147300.0
57,2001-01-01,11.906992528126024,148300.0
58,2001-02-01,11.914382551680854,149400.0
59,2001-03-01,11.921053690497876,150400.0
60,2001-04-01,11.927019899776447,151300.0
61,2001-05-01,11.932950724409723,152200.0
62,2001-06-01,11.937539391917154,152900.0
63,2001-07-01,11.941455846009388,153500.0
64,2001-08-01,11.944707881395766,154000.0
65,2001-09-01,11.948596415135459,154600.0
66,2001-10-01,11.953114009136778,155300.0
67,2001-11-01,11.958252106503524,156100.0
68,2001-12-01,11.964637824243713,157100.0
69,2002-01-01,11.972247245869104,158300.0
70,2002-02-01,11.979799201207037,159500.0
71,2002-03-01,11.987294551725604,160700.0
72,2002-04-01,11.99535161421452,162000.0
73,2002-05-01,12.00395646140804,163400.0
74,2002-06-01,12.01309450854769,164900.0
75,2002-07-01,12.02335100871488,166600.0
76,2002-08-01,12.035284324549892,168600.0
77,2002-09-01,12.048248560336607,170800.0
78,2002-10-01,12.062779475703698,173300.0
79,2002-11-01,12.078807294484298,176100.0
80,2002-12-01,12.095699588048802,179100.0
81,2003-01-01,12.111761966058932,182000.0
82,2003-02-01,12.12486259010463,184400.0
83,2003-03-01,12.13779380477688,186800.0
84,2003-04-01,12.15003125464655,189100.0
85,2003-05-01,12.162643087602838,191500.0
86,2003-06-01,12.176128769157101,194100.0
87,2003-07-01,12.191466493140812,197100.0
88,2003-08-01,12.20757152165391,200300.0
89,2003-09-01,12.223912563658505,203600.0
90,2003-10-01,12.239990863733635,206900.0
91,2003-11-01,12.256765759845692,210400.0
92,2003-12-01,12.274665436995786,214200.0
93,2004-01-01,12.294083522852887,218400.0
94,2004-02-01,12.314927050442256,223000.0
95,2004-03-01,12.337539408272479,228100.0
96,2004-04-01,12.36264895257227,233900.0
97,2004-05-01,12.388810782209344,240100.0
98,2004-06-01,12.41673867533327,246900.0
99,2004-07-01,12.44626995141021,254300.0
100,2004-08-01,12.476099782743233,262000.0
101,2004-09-01,12.506177237980511,270000.0
102,2004-10-01,12.53465670930238,277800.0
103,2004-11-01,12.560244459250788,285000.0
104,2004-12-01,12.584509081250419,292000.0
105,2005-01-01,12.60853324461804,299100.0
106,2005-02-01,12.633951348475238,306800.0
107,2005-03-01,12.662230867953856,315600.0
108,2005-04-01,12.692810473767075,325400.0
109,2005-05-01,12.723973182968127,335700.0
110,2005-06-01,12.753615852231327,345800.0
111,2005-07-01,12.780154718931179,355100.0
112,2005-08-01,12.801331325270993,362700.0
113,2005-09-01,12.81882288901809,369100.0
114,2005-10-01,12.832545692822126,374200.0
115,2005-11-01,12.842913989879024,378100.0
116,2005-12-01,12.850029581899348,380800.0
117,2006-01-01,12.855267938560937,382800.0
118,2006-02-01,12.860478997773688,384800.0
119,2006-03-01,12.865663042561277,386800.0
120,2006-04-01,12.870305815925477,388600.0
121,2006-05-01,12.873132491326801,389700.0
122,2006-06-01,12.873389066055598,389800.0
123,2006-07-01,12.869791015399306,388400.0
124,2006-08-01,12.862555841718528,385600.0
125,2006-09-01,12.853437633434991,382100.0
126,2006-10-01,12.84344281062112,378300.0
